file,width,height,fps,nb_frames,rotation,display_w,display_h,error
videos\G1\P02\20260731\G1_P02_20260731_impA_002.mp4,1920,1080,30.037,81,90,1080,1920,
videos\G1\P02\20260801\G1_P02_20260801_impA_001.mp4,1920,1080,29.559,47,90,1080,1920,
videos\G1\P02\20260801\G1_P02_20260801_impA_002.mp4,1920,1080,30.524,61,90,1080,1920,
videos\G1\P02\20260802\G1_P02_20260802_impA_001.mp4,1920,1080,29.757,48,90,1080,1920,
videos\G1\P02\20260802\G1_P02_20260802_impA_002.mp4,1920,1080,29.867,59,90,1080,1920,
videos\G1\P02\20260803\G1_P02_20260803_impA_001.mp4,1920,1080,29.883,63,90,1080,1920,
videos\G1\P02\20260803\G1_P02_20260803_impA_002.mp4,1920,1080,29.685,51,90,1080,1920,
videos\G1\P02\20260804\G1_P02_20260804_impA_001.mp4,1920,1080,30.377,57,90,1080,1920,
videos\G1\P02\20260804\G1_P02_20260804_impA_002.mp4,1920,1080,29.881,54,90,1080,1920,
videos\G1\P03\20260725\G1_P03_20260725_impA_001.mp4,1920,1080,29.918,120,90,1080,1920,
videos\G1\P03\20260725\G1_P03_20260725_impA_002.mp4,1920,1080,29.858,116,90,1080,1920,
videos\G1\P03\20260725\G1_P03_20260725_impA_003.mp4,1920,1080,29.868,118,90,1080,1920,
videos\G1\P03\20260725\G1_P03_20260725_impA_004.mp4,1920,1080,29.837,105,90,1080,1920,
videos\G1\P03\20260725\G1_P03_20260725_impA_005.mp4,1920,1080,29.866,106,90,1080,1920,
videos\G1\P03\20260725\G1_P03_20260725_impA_006.mp4,1920,1080,29.939,115,90,1080,1920,
videos\G1\P03\20260725\G1_P03_20260725_impA_007.mp4,1920,1080,29.819,100,90,1080,1920,
videos\G1\P03\20260725\G1_P03_20260725_impA_008.mp4,1920,1080,29.846,96,90,1080,1920,
videos\G1\P03\20260725\G1_P03_20260725_impA_009.mp4,1920,1080,29.824,94,90,1080,1920,
videos\G1\P03\20260725\G1_P03_20260725_impA_010.mp4,1920,1080,29.767,109,90,1080,1920,
videos\G1\P03\20260803\G1_P03_20260803_impA_001.mp4,1920,1080,29.969,118,90,1080,1920,
videos\G1\P03\20260803\G1_P03_20260803_impA_002.mp4,1920,1080,30.006,123,90,1080,1920,
videos\G1\P03\20260804\G1_P03_20260804_impA_001.mp4,1920,1080,29.947,96,90,1080,1920,
videos\G1\P03\20260804\G1_P03_20260804_impA_002.mp4,1920,1080,29.908,105,90,1080,1920,
videos\G1\P03\20260805\G1_P03_20260805_impA_001.mp4,1920,1080,30.006,87,90,1080,1920,
videos\G1\P03\20260805\G1_P03_20260805_impA_002.mp4,1920,1080,29.963,86,90,1080,1920,
videos\G1\P03\20260805\G1_P03_20260805_impA_003.mp4,1920,1080,30.006,75,90,1080,1920,
videos\G1\P03\20260805\G1_P03_20260805_impA_004.mp4,1920,1080,29.987,83,90,1080,1920,
videos\G1\P04\20260725\G1_P04_20260725_impA_001.mp4,1280,720,24.0,88,90,720,1280,
videos\G1\P04\20260725\G1_P04_20260725_impA_002.mp4,1280,720,24.0,89,90,720,1280,
videos\G1\P04\20260725\G1_P04_20260725_impA_003.mp4,1280,720,24.0,89,90,720,1280,
videos\G1\P04\20260725\G1_P04_20260725_impA_004.mp4,1280,720,24.0,94,90,720,1280,
videos\G1\P04\20260725\G1_P04_20260725_impA_005.mp4,1280,720,24.0,88,90,720,1280,
videos\G1\P04\20260725\G1_P04_20260725_impA_006.mp4,1280,720,24.0,89,90,720,1280,
videos\G1\P04\20260725\G1_P04_20260725_impA_007.mp4,1280,720,24.0,89,90,720,1280,
videos\G1\P04\20260725\G1_P04_20260725_impA_008.mp4,1280,720,24.0,98,90,720,1280,
videos\G1\P04\20260725\G1_P04_20260725_impA_009.mp4,1280,720,24.0,89,90,720,1280,
videos\G1\P04\20260725\G1_P04_20260725_impA_010.mp4,1280,720,24.0,87,90,720,1280,
videos\G1\P04\20260730\G1_P04_20260730_impA_001.mp4,1920,1080,30.0,106,90,1080,1920,
videos\G1\P04\20260730\G1_P04_20260730_impA_002.mp4,1920,1080,30.0,105,90,1080,1920,
videos\G1\P04\20260802\G1_P04_20260802_impA_001.mp4,1920,1080,30.0,99,90,1080,1920,
videos\G1\P04\20260802\G1_P04_20260802_impA_002.mp4,1920,1080,30.0,107,90,1080,1920,
videos\G1\P04\20260803\G1_P04_20260803_impA_001.mp4,1920,1080,30.0,116,90,1080,1920,
videos\G1\P04\20260803\G1_P04_20260803_impA_002.mp4,1920,1080,30.0,106,90,1080,1920,
videos\G1\P04\20260804\G1_P04_20260804_impA_001.mp4,1920,1080,30.0,109,90,1080,1920,
videos\G1\P04\20260804\G1_P04_20260804_impA_002.mp4,1920,1080,30.0,111,90,1080,1920,
videos\G1\P04\20260805\G1_P04_20260805_impA_001.mp4,1920,1080,30.0,109,90,1080,1920,
videos\G1\P04\20260805\G1_P04_20260805_impA_002.mp4,1920,1080,30.0,117,90,1080,1920,
videos\G1\P05\20260725\G1_P05_20260725_impA_001.mp4,1920,1080,30.0,94,-90,1080,1920,
videos\G1\P05\20260725\G1_P05_20260725_impA_002.mp4,1920,1080,30.0,129,-90,1080,1920,
videos\G1\P05\20260725\G1_P05_20260725_impA_003.mp4,1920,1080,30.0,123,-90,1080,1920,
videos\G1\P05\20260725\G1_P05_20260725_impA_004.mp4,1920,1080,30.0,109,-90,1080,1920,
videos\G1\P05\20260725\G1_P05_20260725_impA_005.mp4,1920,1080,30.0,125,-90,1080,1920,
videos\G1\P05\20260725\G1_P05_20260725_impA_006.mp4,1920,1080,30.0,113,-90,1080,1920,
videos\G1\P05\20260725\G1_P05_20260725_impA_007.mp4,1920,1080,30.0,104,-90,1080,1920,
videos\G1\P05\20260725\G1_P05_20260725_impA_008.mp4,1920,1080,30.0,99,-90,1080,1920,
videos\G1\P05\20260725\G1_P05_20260725_impA_009.mp4,1920,1080,30.0,98,-90,1080,1920,
videos\G1\P05\20260725\G1_P05_20260725_impA_010.mp4,1920,1080,30.0,114,-90,1080,1920,
videos\G1\P05\20260731\G1_P05_20260731_impA_001.mp4,1920,1080,30.0,122,-90,1080,1920,
videos\G1\P05\20260731\G1_P05_20260731_impA_002.mp4,1920,1080,30.0,121,-90,1080,1920,
videos\G1\P05\20260801\G1_P05_20260801_impA_001.mp4,1920,1080,30.0,122,-90,1080,1920,
videos\G1\P05\20260801\G1_P05_20260801_impA_002.mp4,1920,1080,30.0,136,-90,1080,1920,
videos\G1\P05\20260802\G1_P05_20260802_impA_001.mp4,1920,1080,30.0,116,-90,1080,1920,
videos\G1\P05\20260802\G1_P05_20260802_impA_002.mp4,1920,1080,30.0,158,-90,1080,1920,
videos\G1\P05\20260803\G1_P05_20260803_impA_001.mp4,1920,1080,30.0,147,-90,1080,1920,
videos\G1\P05\20260803\G1_P05_20260803_impA_002.mp4,1920,1080,30.0,148,-90,1080,1920,
videos\G1\P05\20260804\G1_P05_20260804_impA_001.mp4,1920,1080,30.0,112,-90,1080,1920,
videos\G1\P05\20260804\G1_P05_20260804_impA_002.mp4,1920,1080,30.0,136,-90,1080,1920,
videos\G1\P06\20260725\G1_P06_20260725_impA_001.mp4,1080,1920,29.959,91,0,1080,1920,
videos\G1\P06\20260725\G1_P06_20260725_impA_002.mp4,1080,1920,29.958,86,0,1080,1920,
videos\G1\P06\20260725\G1_P06_20260725_impA_003.mp4,1080,1920,29.887,104,0,1080,1920,
videos\G1\P06\20260725\G1_P06_20260725_impA_004.mp4,1080,1920,29.958,97,0,1080,1920,
videos\G1\P06\20260725\G1_P06_20260725_impA_005.mp4,1080,1920,29.877,91,0,1080,1920,
videos\G1\P06\20260725\G1_P06_20260725_impA_006.mp4,1080,1920,29.959,78,0,1080,1920,
videos\G1\P06\20260725\G1_P06_20260725_impA_007.mp4,1080,1920,29.959,103,0,1080,1920,
videos\G1\P06\20260725\G1_P06_20260725_impA_008.mp4,1080,1920,29.837,61,0,1080,1920,
videos\G1\P06\20260725\G1_P06_20260725_impA_009.mp4,1080,1920,29.959,80,0,1080,1920,
videos\G1\P06\20260725\G1_P06_20260725_impA_010.mp4,1080,1920,29.959,100,0,1080,1920,
videos\G2\P01\20260725\G2_P01_20260725_impA_001.mp4,1920,1080,29.941,40,90,1080,1920,
videos\G2\P01\20260725\G2_P01_20260725_impA_002.mp4,1920,1080,29.942,59,90,1080,1920,
videos\G2\P01\20260725\G2_P01_20260725_impA_003.mp4,1920,1080,29.941,48,90,1080,1920,
videos\G2\P01\20260725\G2_P01_20260725_impA_004.mp4,1920,1080,29.941,55,90,1080,1920,
videos\G2\P01\20260725\G2_P01_20260725_impA_005.mp4,1920,1080,29.99,51,90,1080,1920,
videos\G2\P01\20260725\G2_P01_20260725_impA_006.mp4,1920,1080,29.839,78,90,1080,1920,
videos\G2\P01\20260725\G2_P01_20260725_impA_007.mp4,1920,1080,29.904,50,90,1080,1920,
videos\G2\P01\20260725\G2_P01_20260725_impA_008.mp4,1920,1080,30.004,67,90,1080,1920,
videos\G2\P01\20260725\G2_P01_20260725_impA_009.mp4,1920,1080,29.963,47,90,1080,1920,
videos\G2\P01\20260725\G2_P01_20260725_impA_010.mp4,1920,1080,29.717,60,90,1080,1920,
videos\G2\P01\20260730\G2_P01_20260730_impA_001.mp4,1920,1080,30.004,52,90,1080,1920,
videos\G2\P01\20260730\G2_P01_20260730_impA_002.mp4,1920,1080,30.004,71,90,1080,1920,
videos\G2\P01\20260802\G2_P01_20260802_impA_001.mp4,1920,1080,29.987,63,90,1080,1920,
videos\G2\P01\20260802\G2_P01_20260802_impA_002.mp4,1920,1080,29.696,68,90,1080,1920,
